cell5m,gdd
2126127,960
2126128,960
2126129,960
2126130,960
2126131,960
2126357,1126
2126358,1126
2126359,1135
2126360,1135
2126361,1135
2126362,1135
2126363,1135
2126364,1135
2126365,1130
2126366,1117
2126367,1117
2126368,1117
2126369,1117
2126370,1117
2126371,1117
2126372,1117
2126373,1117
2126374,1116
2126375,1116
2126376,1116
2126377,1116
2126378,1116
2126379,1116
2126380,1116
2126381,1124
2126382,1124
2126383,1124
2126384,1124
2126385,1124
2126386,1124
2126387,1124
2126388,1124
2126389,1060
2126390,1060
2126391,1060
2126392,1060
2126393,1060
2126395,1065
2126396,1012
2126397,1012
2126398,1012
2126400,1012
2126401,1012
2126402,1012
2126403,1006
2126404,1037
2126405,1037
2126406,1037
2126407,1037
2126408,1037
2126409,1037
2126410,1037
2126411,1056
2126412,1056
2126413,1056
2126414,1056
2126415,1056
2126416,1056
2126417,1056
2126418,1056
2126419,1108
2126420,1108
2126421,1114
2126422,1114
2126423,1114
2126424,1114
2126425,1108
2126426,1191
2126427,1191
2126428,1191
2126429,1191
2126430,1191
2126431,1191
2126432,1191
2126433,1245
2126434,1195
2126435,1195
2126436,1195
2126437,1195
2126438,1195
2126439,1195
2126440,1195
2126441,1135
2126442,1135
2126443,1135
2126444,1135
2126445,1135
2126446,1135
2126447,1135
2126448,1135
2126449,1132
2126450,1132
2126451,1132
2126452,1132
2126453,1132
2126454,1132
2126455,1132
2126456,1173
2126458,1173
2126459,1173
2126460,1173
2130447,960
2130448,960
2130449,960
2130450,960
2130451,960
2130452,960
2130671,1126
2130672,1126
2130673,1126
2130679,1135
2130680,1135
2130681,1135
2130682,1135
2130683,1135
2130685,1130
2130686,1117
2130687,1117
2130688,1117
2130689,1117
2130690,1117
2130691,1117
2130692,1117
2130693,1117
2130694,1116
2130695,1116
2130696,1116
2130697,1116
2130698,1116
2130699,1116
2130700,1116
2130701,1124
2130702,1124
2130703,1124
2130704,1124
2130705,1124
2130706,1124
2130707,1124
2130708,1124
2130709,1060
2130710,1060
2130711,1060
2130712,1060
2130713,1060
2130714,1060
2130715,1060
2130716,1012
2130717,1012
2130718,1012
2130719,1012
2130720,1012
2130723,1006
2130724,1037
2130725,1037
2130726,1037
2130727,1037
2130728,1037
2130729,1037
2130730,1037
2130731,1056
2130732,1056
2130733,1056
2130734,1056
2130735,1056
2130736,1056
2130737,1056
2130738,1056
2130739,1108
2130740,1108
2130741,1108
2130742,1114
2130743,1114
2130744,1114
2130745,1108
2130746,1191
2130747,1191
2130748,1191
2130749,1191
2130750,1191
2130751,1191
2130752,1191
2130753,1191
2130754,1195
2130755,1195
2130756,1195
2130757,1195
2130758,1195
2130759,1195
2130760,1195
2130761,1135
2130762,1135
2130763,1135
2130764,1135
2130765,1135
2130766,1135
2130767,1135
2130768,1135
2130769,1132
2130770,1132
2130771,1132
2130772,1132
2130773,1132
2130774,1132
2130775,1132
2130776,1173
2130777,1173
2130778,1173
2130779,1173
2130780,1173
2130781,1173
2130782,1173
2130783,1173
2134768,960
2134769,960
2134770,960
2134773,960
2134991,1126
2134992,1126
2134993,1126
2134994,1126
2134995,1126
2134998,1126
2134999,1135
2135000,1135
2135005,1130
2135006,1117
2135007,1117
2135008,1117
2135009,1117
2135010,1117
2135011,1117
2135012,1117
2135013,1117
2135014,1116
2135015,1116
2135016,1116
2135017,1116
2135018,1116
2135019,1116
2135020,1116
2135021,1124
2135022,1124
2135023,1124
2135024,1124
2135025,1124
2135026,1124
2135027,1124
2135028,1124
2135029,1060
2135030,1060
2135031,1060
2135032,1060
2135033,1060
2135034,1060
2135035,1060
2135036,1006
2135037,1006
2135038,1006
2135039,1006
2135040,1006
2135041,1006
2135042,1006
2135043,1006
2135044,1037
2135045,1037
2135046,1037
2135047,1037
2135048,1037
2135049,1037
2135050,1037
2135051,1056
2135052,1056
2135053,1056
2135054,1056
2135055,1056
2135056,1056
2135057,1056
2135058,1056
2135059,1108
2135060,1108
2135061,1108
2135062,1108
2135063,1108
2135064,1114
2135065,1108
2135066,1191
2135067,1191
2135068,1191
2135069,1191
2135070,1191
2135071,1191
2135072,1191
2135073,1191
2135074,1195
2135075,1195
2135076,1195
2135077,1195
2135078,1195
2135079,1195
2135080,1195
2135081,1135
2135082,1135
2135083,1135
2135084,1135
2135085,1135
2135086,1135
2135087,1135
2135088,1135
2135089,1132
2135090,1132
2135091,1132
2135092,1132
2135093,1132
2135094,1132
2135095,1132
2135096,1173
2135097,1102
2135098,1102
2135099,1173
2135100,1173
2135101,1173
2135102,1173
2135103,1173
2139311,1177
2139312,1177
2139313,1177
2139314,1177
2139315,1177
2139316,1177
2139317,1177
2139318,1177
2139319,1130
2139320,1130
2139325,1125
2139326,1093
2139327,1093
2139328,1098
2139329,1093
2139330,1093
2139331,1093
2139332,1093
2139333,1093
2139334,1125
2139335,1125
2139336,1125
2139337,1125
2139338,1125
2139339,1125
2139340,1125
2139341,1169
2139342,1169
2139343,1169
2139344,1169
2139345,1169
2139346,1169
2139347,1169
2139348,1169
2139349,1175
2139350,1175
2139351,1175
2139352,1175
2139353,1175
2139354,1175
2139355,1175
2139356,1137
2139357,1137
2139358,1137
2139359,1137
2139360,1137
2139361,1137
2139362,1137
2139363,1137
2139364,1126
2139365,1126
2139366,1126
2139367,1126
2139368,1126
2139369,1126
2139370,1126
2139371,1115
2139372,1115
2139373,1115
2139374,1115
2139375,1120
2139376,1120
2139377,1115
2139378,1115
2139379,1128
2139380,1128
2139381,1128
2139382,1128
2139383,1128
2139384,1133
2139385,1128
2139386,1201
2139387,1201
2139388,1201
2139389,1201
2139390,1201
2139391,1201
2139392,1201
2139393,1201
2139394,1191
2139395,1245
2139396,1245
2139397,1245
2139398,1245
2139399,1245
2139400,1245
2139401,1172
2139402,1172
2139403,1172
2139404,1172
2139405,1172
2139406,1172
2139407,1172
2139408,1172
2139409,1136
2139410,1136
2139411,1136
2139412,1136
2139413,1136
2139414,1058
2139415,1058
2139416,1066
2139420,1144
2139421,1144
2139422,1144
2139423,1144
2139424,1147
2143630,1221
2143645,1125
2143646,1093
2143647,1093
2143648,1093
2143649,1093
2143650,1093
2143651,1093
2143652,1093
2143653,1093
2143654,1125
2143655,1125
2143656,1125
2143657,1125
2143658,1125
2143659,1125
2143660,1125
2143661,1169
2143662,1169
2143663,1169
2143664,1169
2143665,1169
2143666,1169
2143667,1169
2143668,1169
2143669,1175
2143670,1180
2143671,1175
2143672,1175
2143673,1175
2143674,1175
2143675,1175
